Year;Area;CarbonIntensity
2015;Bulgaria;486
2015;Croatia;212
2015;Cyprus;670
2015;Czech Republic;495
2015;Denmark;192
2015;Estonia;944
2015;Finland;103
2015;France;54
2015;Germany;460
2015;Greece;739
2015;Hungary;271
2015;Ireland;437
2015;Italy;283
2015;Latvia;141
2015;Lithuania;206
2015;Luxembourg;141
2015;Malta;654
2015;Netherlands;514
2015;Poland;803
2015;Portugal;364
2015;Romania;349
2015;Slovakia;125
2015;Slovenia;256
2015;Spain;318
2015;Sweden;11
2015;United Kingdom;380
2016;Austria;98
2016;Belgium;172
2016;Bulgaria;462
2016;Croatia;210
2016;Cyprus;679
2016;Czech Republic;505
2016;Denmark;231
2016;Estonia;924
2016;Finland;109
2016;France;60
2016;Germany;456
2016;Greece;622
2016;Hungary;261
2016;Ireland;429
2016;Italy;262
2016;Latvia;117
2016;Lithuania;154
2016;Luxembourg;78
2016;Malta;653
2016;Netherlands;491
2016;Poland;794
2016;Portugal;296
2016;Romania;309
2016;Slovakia;116
2016;Slovenia;254
2016;Spain;266
2016;Sweden;12
2016;United Kingdom;294
2017;Austria;107
2017;Belgium;177
2017;Bulgaria;497
2017;Croatia;195
2017;Cyprus;661
2017;Czech Republic;453
2017;Denmark;176
2017;Estonia;928
2017;Finland;99
2017;France;69
2017;Germany;424
2017;Greece;658
2017;Hungary;264
2017;Ireland;399
2017;Italy;263
2017;Latvia;65
2017;Lithuania;92
2017;Luxembourg;72
2017;Malta;435
2017;Netherlands;459
2017;Poland;784
2017;Portugal;353
2017;Romania;315
2017;Slovakia;119
2017;Slovenia;254
2017;Spain;305
2017;Sweden;13
2017;United Kingdom;264
2018;Austria;102
2018;Belgium;207
2018;Bulgaria;425
2018;Croatia;135
2018;Cyprus;664
2018;Czech Republic;445
2018;Denmark;189
2018;Estonia;900
2018;Finland;111
2018;France;54
2018;Germany;406
2018;Greece;662
2018;Hungary;251
2018;Ireland;353
2018;Italy;248
2018;Latvia;138
2018;Lithuania;65
2018;Luxembourg;69
2018;Malta;356
2018;Netherlands;441
2018;Poland;789
2018;Portugal;310
2018;Romania;291
2018;Slovakia;137
2018;Slovenia;248
2018;Spain;276
2018;Sweden;13
2018;United Kingdom;250
2019;Austria;99
2019;Belgium;184
2019;Bulgaria;424
2019;Croatia;172
2019;Cyprus;660
2019;Czech Republic;423
2019;Denmark;122
2019;Estonia;783
2019;Finland;89
2019;France;54
2019;Germany;343
2019;Greece;603
2019;Hungary;226
2019;Ireland;313
2019;Italy;229
2019;Latvia;147
2019;Lithuania;68
2019;Luxembourg;69
2019;Malta;356
2019;Netherlands;382
2019;Poland;752
2019;Portugal;251
2019;Romania;271
2019;Slovakia;104
2019;Slovenia;242
2019;Spain;228
2019;Sweden;12
2019;United Kingdom;228
2020;Austria;83
2020;Belgium;192
2020;Bulgaria;352
2020;Croatia;164
2020;Cyprus;653
2020;Czech Republic;386
2020;Denmark;116
2020;Estonia;669
2020;Finland;67
2020;France;55
2020;Germany;301
2020;Greece;522
2020;Hungary;218
2020;Ireland;293
2020;Italy;212
2020;Latvia;92
2020;Lithuania;146
2020;Luxembourg;69
2020;Malta;356
2020;Netherlands;318
2020;Poland;724
2020;Portugal;201
2020;Romania;208
2020;Slovakia;90
2020;Slovenia;219
2020;Spain;190
2020;Sweden;13
2020;United Kingdom;209
